id,attribution_text,photo_url
10001,CC BY 3.0,p
10002,Public domain,w
10005,Public domain,w
10008,@GrahamAllenMPX,
10009,CC BY 3.0,p
10010,OGL,w
10013,CC-BY-SA-3.0,w
10014,CC-BY-SA-3.0,w
10015,CC BY-SA 4.0,w
10022,CC BY 2.0,w
10023,CC BY 2.0,w
10027,CC BY 3.0,p
10028,CC-BY-SA-3.0,w
10029,CC BY 3.0,w
10031,CC BY 3.0,p
10032,CC-BY-SA-3.0,w
10034,CC BY-SA 4.0,w
10036,CC BY-SA 2.0,w
10039,CC BY-SA 2.0,w
10040,CC BY-SA 3.0,w
10045,CC BY 3.0,p
10047,CC BY 2.0,w
10048,CC BY-SA 2.0,w
10050,CC BY-SA 2.0,w
10051,CC BY 3.0,p
10052,Public domain,w
10056,CC BY 3.0,w
10057,CC BY 3.0,p
10058,CC BY 2.0,w
10059,CC BY-SA 4.0,w
10061,CC BY 3.0,p
10062,CC BY 3.0,p
10063,CC BY 3.0,p
10065,CC-BY-SA-3.0,w
10066,CC BY-SA 2.0,w
10068,OGL,w
10069,CC BY 3.0,w
10070,CC BY-SA 3.0,w
10071,CC BY 2.0,w
10072,CC BY 2.0,w
10074,CC BY 2.0,w
10075,CC BY 3.0,p
10076,CC BY 3.0,p
10079,OGL,w
10080,OGL,w
10084,CC BY 3.0,w
10086,CC BY 3.0,p
10088,CC BY-SA 2.0,w
10089,CC BY 3.0,p
10095,CC BY 3.0,w
10102,CC BY-SA 3.0,w
10103,CC BY 3.0,p
10112,OGL,w
10113,CC BY 2.0,w
10115,CC BY 3.0,p
10119,CC BY 3.0,p
10120,CC BY 3.0,p
10121,CC BY 3.0,p
10122,CC-BY-SA-3.0,w
10128,CC BY-SA 3.0,w
10130,Public domain,w
10131,CC BY 3.0,p
10133,CC BY 3.0,p
10136,CC BY 2.0,w
10141,CC BY 3.0,p
10143,CC BY 3.0,p
10147,CC BY 3.0,p
10148,OGL,w
10155,CC BY 3.0,p
10157,CC BY-SA 2.0,w
10159,CC BY 3.0,p
10161,CC BY-SA 4.0,w
10162,CC BY 3.0,p
10167,OGL,w
10171,CC BY 2.0,w
10172,CC BY 3.0,p
10174,CC BY-SA 2.0,w
10175,CC BY 2.0,w
10176,CC BY-SA 2.0,w
10177,CC BY 3.0,p
10179,CC BY 3.0,p
10180,CC BY 3.0,p
10181,CC BY 2.0,w
10182,CC BY 3.0,p
10183,CC BY 3.0,p
10185,CC BY 3.0,p
10186,CC BY 3.0,p
10190,CC BY 3.0,p
10193,CC-BY-SA-3.0,w
10194,CC BY 3.0,p
10197,CC BY 2.0,w
10199,CC BY 3.0,p
10202,CC BY 3.0,p
10203,@Paulflynnmp,
10204,OGL,w
10208,CC-BY-SA-3.0,w
10209,CC BY-SA 2.0,w
10211,CC-BY-SA-3.0,w
10213,CC BY 3.0,p
10217,CC BY 3.0,p
10218,CC BY 2.0,w
10219,CC BY 3.0,p
10220,CC BY 3.0,p
10221,OGL,w
10222,CC BY-SA 3.0,w
10223,CC-BY-SA-3.0,w
10225,CC BY 2.0,w
10227,CC BY-SA 2.0,w
10228,CC BY 3.0,p
10231,CC BY 3.0,p
10236,CC BY-SA 3.0,w
10240,CC BY 3.0,p
10241,CC BY 3.0,p
10243,CC BY 3.0,p
10248,CC BY 3.0,p
10249,CC BY 2.0,w
10251,OGL,w
10252,Public domain,w
10254,CC BY-SA 3.0,w
10256,CC BY 3.0,p
10257,CC BY 3.0,p
10259,CC BY 3.0,p
10260,CC BY 3.0,p
10261,CC BY 2.0,w
10262,OGL,w
10263,CC-BY-SA-3.0,w
10265,CC BY 3.0,p
10266,CC BY-SA 3.0,w
10267,CC BY 3.0,p
10268,CC BY 3.0,p
10269,OGL,w
10270,CC BY-SA 3.0,w
10271,CC-BY-SA-3.0,w
10274,CC BY 3.0,p
10276,CC BY 2.0,w
10278,No restrictions,w
10279,Public domain,w
10281,CC BY 3.0,p
10282,CC BY-SA 2.0,w
10283,CC-BY-SA-3.0,w
10285,CC BY-SA 2.0,w
10286,Public domain,w
10287,OGL,w
10288,CC BY 3.0,p
10290,CC BY 2.0,w
10292,CC BY 3.0,p
10293,OGL,w
10294,OGL,w
10295,CC BY 3.0,p
10298,CC BY-SA 4.0,w
10300,CC-BY-SA-3.0,w
10303,CC BY 3.0 de,w
10308,Public domain,w
10312,CC BY 3.0,p
10314,CC BY 2.0,w
10315,CC BY-SA 4.0,w
10319,CC BY 3.0,p
10320,CC BY 2.0,w
10327,Public domain,w
10328,CC BY-SA 4.0,w
10330,OGL,w
10332,CC BY-SA 2.0,w
10334,CC BY-SA 3.0,w
10335,OGL,w
10338,OGL,w
10341,CC BY-SA 3.0,w
10345,CC BY 2.0,w
10347,OGL,w
10348,CC BY-SA 4.0,w
10349,OGL,w
10352,CC BY 3.0,p
10354,CC BY 3.0,p
10355,OGL,w
10357,CC BY 3.0,p
10358,CC BY 3.0,p
10361,CC BY 3.0,p
10362,CC BY 2.0,w
10363,CC BY-SA 3.0,w
10364,CC BY-SA 2.0,w
10367,CC BY 3.0,p
10371,CC BY 3.0,p
10373,OGL,w
10377,CC BY 2.0,w
10381,CC BY 3.0,p
10383,CC BY-SA 4.0,w
10384,CC BY-SA 2.0,w
10387,CC BY 2.0,w
10388,CC BY-SA 2.0,w
10389,CC BY 2.0,w
10392,Public domain,w
10395,OGL,w
10396,CC BY 3.0,w
10397,CC BY 3.0,p
10399,CC BY-SA 3.0,w
10400,Public domain,w
10401,CC-BY-SA-3.0,w
10402,CC-BY-SA-3.0,w
10408,CC BY 2.0,w
10412,CC BY-SA 2.0,w
10415,CC BY 3.0,p
10416,Public domain,w
